P,Census Region,State,Interconnect,Country,cap_reg_mult,source
p164,mex,CHH,mexico,mex,1,ReEDS
p165,mex,CHH,mexico,mex,1,ReEDS
p166,mex,COA_DGO_NLE,mexico,mex,1,ReEDS
p167,mex,COA_DGO_NLE,mexico,mex,1,ReEDS
p168,mex,COA_DGO_NLE,mexico,mex,1,ReEDS
p169,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,mexico,mex,1,ReEDS
p170,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,mexico,mex,1,ReEDS
p171,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,mexico,mex,1,ReEDS
p172,mex,COA_DGO_NLE,mexico,mex,1,ReEDS
p173,mex,COA_DGO_NLE,mexico,mex,1,ReEDS
p174,mex,SLP,mexico,mex,1,ReEDS
p175,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,mexico,mex,1,ReEDS
p176,mex,SLP,mexico,mex,1,ReEDS
p177,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,mexico,mex,1,ReEDS
p178,mex,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,mex,1,ReEDS
p179,mex,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,mex,1,ReEDS
p180,mex,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,mex,1,ReEDS
p181,mex,SLP,mexico,mex,1,ReEDS
p182,mex,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,mex,1,ReEDS
p183,mex,COL,mexico,mex,1,ReEDS
p184,mex,GRO_MIC,mexico,mex,1,ReEDS
p185,mex,GRO_MIC,mexico,mex,1,ReEDS
p186,mex,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,mex,1,ReEDS
p187,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,mexico,mex,1,ReEDS
p188,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,mexico,mex,1,ReEDS
p189,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,mexico,mex,1,ReEDS
p190,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,mexico,mex,1,ReEDS
p191,mex,GRO_MIC,mexico,mex,1,ReEDS
p192,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,mexico,mex,1,ReEDS
