Coal Type,Region,Generator Type,Count Emissions from Building Powerplant,mix,efficiency,flows,value,unit,direction,type,source,data location
Bituminous,NPCC,Boiler (~99% of US coal turbines),No,,32.80%,co2,8.57E-01,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),Yes,,32.80%,voc,1.48E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),Yes,,32.80%,co,1.17E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),Yes,,32.80%,nox,1.06E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),Yes,,32.80%,pm10,2.60E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),Yes,,32.80%,pm2.5,1.85E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),Yes,,32.80%,sox,4.32E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),Yes,,32.80%,bc,7.96E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),Yes,,32.80%,oc,1.50E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),Yes,,32.80%,ch4,1.23E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),Yes,,32.80%,n2o,1.60E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),Yes,,32.80%,co2,8.57E-01,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,RFC,Boiler (~99% of US coal turbines),No,,34.90%,voc,1.30E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = RFC
