Plant Design Type,Method for Estimating Credits of Co-Products,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Steam co-production,Displacement method,DME Production,steam,ch4,,-8.72166E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,electricity,ch4,,9.96654E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,steam,ch4,,-8.72166E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
No co-products,Displacement method,DME Production,total,ch4,combustion,9.87118E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No co-products,Displacement method,DME Production: Non-Combustion Emissions,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production,total,ch4,combustion,9.96654E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production: Non-Combustion Emissions,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,Production of Displaced Steam,total,ch4,combustion,-8.72166E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Btu-based Allocation,DME Production,total,ch4,combustion,9.54649E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production: Non-Combustion Emissions,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,ch4,combustion,-3.14193E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No co-products,Displacement method,DME Production,electricity,co,,1.78272E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
No co-products,Displacement method,DME Production,total,co,,1.78272E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No co-products,Displacement method,DME Production: Non-Combustion Emissions,total,co,,9.83886E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production,electricity,co,,1.79994E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Displacement method,DME Production,steam,co,,-1.93834E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Displacement method,DME Production,total,co,,1.79994E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production: Non-Combustion Emissions,total,co,,9.83886E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,Production of Displaced Steam,total,co,,-1.93834E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Btu-based Allocation,DME Production,electricity,co,,1.79994E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,steam,co,,-1.93834E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,total,co,,1.72408E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,co,,9.02701E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production,total,co,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production: Non-Combustion Emissions,total,co,,9.83886E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,co,,-5.67428E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production,total,co,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,co,,9.58408E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No co-products,Displacement method,DME Production,electricity,co2,,0.00497682,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 116 and Electric tab B220 and C220
No co-products,Displacement method,DME Production,total,co2,,0.00497682,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 135
No co-products,Displacement method,DME Production: Non-Combustion Emissions,total,co2,,0.013466219,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 135
Steam co-production,Displacement method,DME Production,electricity,co2,,0.0050249,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 116 for Natural Gas to Dimethyl Ether and Electric tab B220 and C220
Steam co-production,Displacement method,DME Production,steam,co2,,-0.003332489,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 95 and MeOH_FTD!D135
Steam co-production,Displacement method,DME Production,total,co2,,0.0050249,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 135
Steam co-production,Displacement method,DME Production: Non-Combustion Emissions,total,co2,,0.013692542,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 135
Steam co-production,Displacement method,Production of Displaced Steam,total,co2,,-0.003332489,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 135
Steam co-production,Btu-based Allocation,DME Production,electricity,co2,,0.0050249,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 116 for Natural Gas to Dimethyl Ether and Electric tab B220 and C220
Steam co-production,Btu-based Allocation,DME Production,steam,co2,,-0.003332489,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 95 and MeOH_FTD!D135
Steam co-production,Btu-based Allocation,DME Production,total,co2,,0.004813122,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 135
Steam co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,co2,,0.013115593,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 135
Electricity co-production,Displacement method,DME Production,total,co2,,0,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 135
Electricity co-production,Displacement method,DME Production: Non-Combustion Emissions,total,co2,,0.015935872,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 135
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,co2,,-0.001584088,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 135
Electricity co-production,Btu-based Allocation,DME Production,total,co2,,0,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 135
