data label (bold = stored in excel),year,pop_VIS19,popD_VIS19,d_p_VIS19,S_d_VIS19,S_VIS19,f_ICEG_sedan_VIS19,f_ICED_sedan_VIS19,f_HEV_sedan_VIS19,f_PHEV_sedan_VIS19,f_BEV_sedan_VIS19,f_FCEV_sedan_VIS19,f_ICEG_LT_VIS19,f_ICED_LT_VIS19,f_HEV_LT_VIS19,f_PHEV_LT_VIS19,f_BEV_LT_VIS19,f_FCEV_LT_VIS19,F_sedan_VIS19,F_LT_VIS19,g_p_VIS19,d_TEDB20,d_a_TEDB20,d_Default,d_a_Default
76,2045,381292145,312774750,0.820302107,0.056238049,17589841.61,0.701394374,0.015568602,0.07984738,0.027635708,0.17322512,0.002328816,0.857694427,0.060572217,0.020930738,0.025974722,0.031434464,0.003393431,0.605965263,0.394034737,70617.24176,,,14285.6,0.0204
77,2046,382789642,314168182,0.820733237,0.056169506,17646671.63,0.698531391,0.015555142,0.079652182,0.027732826,0.176194819,0.002333641,0.854410486,0.060474114,0.02181161,0.026924052,0.0329739,0.003405838,0.606226661,0.393773339,71637.33407,,,14285.6,0.0204
78,2047,384277740,315540680,0.821126615,0.055893127,17636555.3,0.695698774,0.015497612,0.079385051,0.027859001,0.179209687,0.002349874,0.851007304,0.060157728,0.022714508,0.027995777,0.034691001,0.003433682,0.606323449,0.393676551,72700.70668,,,14285.6,0.0204
79,2048,385760498,316896271,0.821484503,0.055523983,17595343.08,0.692810071,0.015260647,0.079124832,0.028012024,0.182430215,0.002362211,0.847508808,0.059613053,0.023689243,0.029130767,0.036598389,0.00345974,0.606674974,0.393325026,73731.73811,,,14285.6,0.0204
80,2049,387242065,318239655,0.821810655,0.055366366,17619773.07,0.690370349,0.015053286,0.078786185,0.028061653,0.185356666,0.002371861,0.844097914,0.058977258,0.024689327,0.030235906,0.038528738,0.003470857,0.606282694,0.393717306,74757.22477,,,14285.6,0.0204
81,2050,388725861,319575531,0.822110292,0.055121213,17615390.99,0.688004953,0.014734725,0.078424312,0.028200706,0.188238375,0.002396929,0.84045866,0.058061246,0.025761435,0.031501097,0.040716466,0.003501096,0.605535585,0.394464415,75764.72307,,,14285.6,0.0204
82,2051,390449000,320354255.9,0.820476569,0.055102115,17652197,0.686370194,0.014734725,0.078424312,0.028313706,0.1897397,0.002417363,0.838131371,0.058061246,0.02634145,0.032264317,0.041678986,0.003522629,0.605706519,0.394293481,76737.22817,,,14285.6,0.0204
83,2052,391976000,321611312.3,0.820487255,0.055062084,17708589,0.684735435,0.014734725,0.078424312,0.028426705,0.191241025,0.002437797,0.835804082,0.058061246,0.026921466,0.033027537,0.042641507,0.003544162,0.605877452,0.394122548,77759.9751,,,14285.6,0.0204
84,2053,393503000,322870218.6,0.820502559,0.055022346,17765077,0.683100676,0.014734725,0.078424312,0.028539705,0.192742351,0.002458231,0.833476793,0.058061246,0.027501481,0.033790758,0.043604027,0.003565695,0.606048386,0.393951614,78794.86815,,,14285.6,0.0204
85,2054,395030000,324130187.5,0.820520435,0.054982913,17821622,0.681465917,0.014734725,0.078424312,0.028652704,0.194243676,0.002478665,0.831149504,0.058061246,0.028081497,0.034553978,0.044566547,0.003587228,0.606219319,0.393780681,79842.02972,,,14285.6,0.0204
86,2055,396557000,325390940.6,0.820540151,0.054943788,17878211,0.679782143,0.014734725,0.078424312,0.02881472,0.195745002,0.002499099,0.828822215,0.058061246,0.028661512,0.035317198,0.045529068,0.003608761,0.606390253,0.393609747,80901.57783,,,14285.6,0.0204
87,2056,398142200,326651981.2,0.820440489,0.054904975,17934819,0.678398633,0.014734725,0.078424312,0.028976735,0.196946062,0.002519533,0.826799108,0.058061246,0.02919318,0.036012378,0.046305948,0.003628141,0.604818662,0.395181338,81961.64838,,,14285.6,0.0204
88,2057,399727400,327961351.2,0.820462523,0.054868142,17994630,0.677015124,0.014734725,0.078424312,0.02913875,0.198147122,0.002539967,0.824776001,0.058061246,0.029724847,0.036707558,0.047082828,0.00364752,0.603247072,0.396752928,83034.12526,,,14285.6,0.0204
89,2058,401312600,329270373.3,0.820483517,0.054827915,18053208,0.675631614,0.014734725,0.078424312,0.029300766,0.199348182,0.002560401,0.822752893,0.058061246,0.030256514,0.037402739,0.047859708,0.0036669,0.601675482,0.398324518,84117.71023,,,14285.6,0.0204
90,2059,402897800,330578958,0.820503259,0.054788046,18111775,0.674248105,0.014734725,0.078424312,0.029462781,0.200549243,0.002580834,0.820729786,0.058061246,0.030788181,0.038097919,0.048636589,0.00368628,0.600103892,0.399896108,85212.47572,,,14285.6,0.0204
