Seqno,state,plant_name,orispl,unit,prime_mover,fuel,online_year,egrid_year,gen,number_of_boiler,genstatus,gen_prime_mover,gen_fuel,capacity_mw,match_score,plant_id
273,AK,Jarvis Street,6801,1,IC,DFO,,2018,1,0,OP,IC,DFO,2,1,61
274,AK,Jarvis Street,6801,2,IC,DFO,,2018,2,0,OP,IC,DFO,2.8,1,61
275,AK,Jarvis Street,6801,3,IC,DFO,,2018,3,0,OP,IC,DFO,2.8,1,61
276,AK,Jarvis Street,6801,4,IC,DFO,,2018,4,0,OP,IC,DFO,4.5,1,61
277,AK,Jarvis Street,6801,5,IC,DFO,,2018,5,0,OP,IC,DFO,13.5,1,61
278,AK,JBER Landfill Gas Power Plant,58380,1,IC,LFG,,2018,1,0,OP,IC,LFG,2.3,1,62
279,AK,JBER Landfill Gas Power Plant,58380,2,IC,LFG,,2018,2,0,OP,IC,LFG,2.3,1,62
280,AK,JBER Landfill Gas Power Plant,58380,3,IC,LFG,,2018,3,0,OP,IC,LFG,2.3,1,62
281,AK,JBER Landfill Gas Power Plant,58380,4,IC,LFG,,2018,4,0,OP,IC,LFG,2.3,1,62
282,AK,JBER Landfill Gas Power Plant,58380,5,IC,LFG,,2018,5,0,OP,IC,LFG,2.3,1,62
283,AK,Kake,7464,1,IC,DFO,,2018,1,0,RE,IC,DFO,0.6,1,63
284,AK,Kake,7464,1A,IC,DFO,,2018,1A,0,RE,IC,DFO,0.5,1,63
285,AK,Kake,7464,1B,IC,DFO,,2018,1B,0,OP,IC,DFO,0.5,1,63
286,AK,Kake,7464,2,IC,DFO,,2018,2,0,OP,IC,DFO,1.1,1,63
287,AK,Kake,7464,2A,IC,DFO,,2018,2A,0,OP,IC,DFO,0.5,1,63
288,AK,Kake,7464,3A,IC,DFO,,2018,3A,0,RE,IC,DFO,0.8,1,63
289,AK,Kake,7464,3B,IC,DFO,,2018,3B,0,OP,IC,DFO,0.5,1,63
290,AK,Kake,7464,4,IC,DFO,,2018,4,0,OP,IC,DFO,0.5,1,63
291,AK,Kasidaya Creek Hydro,56542,1,HY,WAT,,2018,1,0,OP,HY,WAT,3,1,64
292,AK,Kasigluk,57066,1,IC,DFO,,2018,1,0,OP,IC,DFO,0.8,1,65
293,AK,Kasigluk,57066,5A,IC,DFO,,2018,5A,0,OP,IC,DFO,0.7,1,65
294,AK,Kasigluk,57066,UNIT1,IC,DFO,,2018,UNIT1,0,RE,IC,DFO,0.4,1,65
295,AK,Kasigluk,57066,UNIT2,IC,DFO,,2018,UNIT2,0,OP,IC,DFO,0.5,1,65
296,AK,Ketchikan,84,3,HY,WAT,,2018,3,0,OP,HY,WAT,1.4,1,66
297,AK,Ketchikan,84,4,HY,WAT,,2018,4,0,OP,HY,WAT,1.4,1,66
298,AK,Ketchikan,84,5,HY,WAT,,2018,5,0,OP,HY,WAT,1.4,1,66
299,AK,Kiana,6323,1A,IC,DFO,,2018,1A,0,RE,IC,DFO,0.3,1,67
300,AK,Kiana,6323,1B,IC,DFO,,2018,1B,0,OP,IC,DFO,0.3,1,67
301,AK,Kiana,6323,2,IC,DFO,,2018,2,0,RE,IC,DFO,0.3,1,67
302,AK,Kiana,6323,3A,IC,DFO,,2018,3A,0,OP,IC,DFO,0.3,1,67
303,AK,Kiana,6323,4,IC,DFO,,2018,4,0,OP,IC,DFO,0.5,1,67
304,AK,King Cove,7493,1,IC,DFO,,2018,1,0,OP,IC,DFO,0.3,1,68
305,AK,King Cove,7493,2,IC,DFO,,2018,2,0,OP,IC,DFO,0.5,1,68
306,AK,King Cove,7493,3,IC,DFO,,2018,3,0,OP,IC,DFO,0.7,1,68
307,AK,King Cove,7493,4,HY,WAT,,2018,4,0,OP,HY,WAT,0.8,1,68
308,AK,King Cove,7493,5,IC,DFO,,2018,5,0,OP,IC,DFO,0.3,1,68
309,AK,Kivalina,57065,UNIT1,IC,DFO,,2018,UNIT1,0,OP,IC,DFO,0.2,1,69
310,AK,Kivalina,57065,UNIT2,IC,DFO,,2018,UNIT2,0,OP,IC,DFO,0.3,1,69
311,AK,Kivalina,57065,UNIT3,IC,DFO,,2018,UNIT3,0,OP,IC,DFO,0.2,1,69
312,AK,Kivalina,57065,UNIT4,IC,DFO,,2018,UNIT4,0,OP,IC,DFO,0.4,1,69
313,AK,Klawock,7466,1,IC,DFO,,2018,1,0,RE,IC,DFO,0.5,1,70
314,AK,Klawock,7466,2,IC,DFO,,2018,2,0,RE,IC,DFO,0.5,1,70
315,AK,Klawock,7466,3,IC,DFO,,2018,3,0,RE,IC,DFO,0.1,1,70
316,AK,Klawock,7466,4,IC,DFO,,2018,4,0,RE,IC,DFO,0.3,1,70
317,AK,Klawock Power Generation Station,61684,1,IC,DFO,,2018,1,0,OP,IC,DFO,2.5,1,71
