Balancing Authority,Date,Averaged Demand (MwH)
CISO,04/01/2020 11:00:00 PM 23,22324
CISO,04/02/2020 12:00:00 AM 24,20876
CISO,04/02/2020 1:00:00 AM 1,20024
CISO,04/02/2020 2:00:00 AM 2,19426
CISO,04/02/2020 3:00:00 AM 3,18972
CISO,04/02/2020 4:00:00 AM 4,18867
CISO,04/02/2020 5:00:00 AM 5,19213
CISO,04/02/2020 6:00:00 AM 6,20256
CISO,04/02/2020 7:00:00 AM 7,21457
CISO,04/02/2020 8:00:00 AM 8,21919
CISO,04/02/2020 9:00:00 AM 9,21765
CISO,04/02/2020 10:00:00 AM 10,20629
CISO,04/02/2020 11:00:00 AM 11,19558
CISO,04/02/2020 12:00:00 PM 12,19001
CISO,04/02/2020 1:00:00 PM 13,18460
CISO,04/02/2020 2:00:00 PM 14,18117
CISO,04/02/2020 3:00:00 PM 15,17713
CISO,04/02/2020 4:00:00 PM 16,18019
CISO,04/02/2020 5:00:00 PM 17,18917
CISO,04/02/2020 6:00:00 PM 18,20772
CISO,04/02/2020 7:00:00 PM 19,22532
CISO,04/02/2020 8:00:00 PM 20,24047
CISO,04/02/2020 9:00:00 PM 21,24308
CISO,04/02/2020 10:00:00 PM 22,23389
CISO,04/02/2020 11:00:00 PM 23,22117
CISO,04/03/2020 12:00:00 AM 24,20732
CISO,04/03/2020 1:00:00 AM 1,19624
CISO,04/03/2020 2:00:00 AM 2,18784
CISO,04/03/2020 3:00:00 AM 3,18413
CISO,04/03/2020 4:00:00 AM 4,18313
CISO,04/03/2020 5:00:00 AM 5,18631
CISO,04/03/2020 6:00:00 AM 6,19678
CISO,04/03/2020 7:00:00 AM 7,21064
CISO,04/03/2020 8:00:00 AM 8,21491
CISO,04/03/2020 9:00:00 AM 9,21210
CISO,04/03/2020 10:00:00 AM 10,20167
CISO,04/03/2020 11:00:00 AM 11,19029
CISO,04/03/2020 12:00:00 PM 12,18195
CISO,04/03/2020 1:00:00 PM 13,17723
CISO,04/03/2020 2:00:00 PM 14,17455
CISO,04/03/2020 3:00:00 PM 15,17372
CISO,04/03/2020 4:00:00 PM 16,17776
CISO,04/03/2020 5:00:00 PM 17,18631
CISO,04/03/2020 6:00:00 PM 18,20304
CISO,04/03/2020 7:00:00 PM 19,22012
CISO,04/03/2020 8:00:00 PM 20,23826
CISO,04/03/2020 9:00:00 PM 21,24062
CISO,04/03/2020 10:00:00 PM 22,23185
CISO,04/03/2020 11:00:00 PM 23,21875
CISO,04/04/2020 12:00:00 AM 24,20654
CISO,04/04/2020 1:00:00 AM 1,19566
CISO,04/04/2020 2:00:00 AM 2,18754
CISO,04/04/2020 3:00:00 AM 3,18460
CISO,04/04/2020 4:00:00 AM 4,18201
CISO,04/04/2020 5:00:00 AM 5,17965
CISO,04/04/2020 6:00:00 AM 6,18385
CISO,04/04/2020 7:00:00 AM 7,18961
CISO,04/04/2020 8:00:00 AM 8,18907
CISO,04/04/2020 9:00:00 AM 9,19170
CISO,04/04/2020 10:00:00 AM 10,19326
CISO,04/04/2020 11:00:00 AM 11,19109
CISO,04/04/2020 12:00:00 PM 12,18622
CISO,04/04/2020 1:00:00 PM 13,18246
CISO,04/04/2020 2:00:00 PM 14,17973
CISO,04/04/2020 3:00:00 PM 15,17865
CISO,04/04/2020 4:00:00 PM 16,18101
CISO,04/04/2020 5:00:00 PM 17,19000
CISO,04/04/2020 6:00:00 PM 18,20350
CISO,04/04/2020 7:00:00 PM 19,21848
CISO,04/04/2020 8:00:00 PM 20,23406
CISO,04/04/2020 9:00:00 PM 21,23427
CISO,04/04/2020 10:00:00 PM 22,22557
CISO,04/04/2020 11:00:00 PM 23,21368
CISO,04/05/2020 12:00:00 AM 24,20160
CISO,04/05/2020 1:00:00 AM 1,19163
CISO,04/05/2020 2:00:00 AM 2,18522
CISO,04/05/2020 3:00:00 AM 3,18083
CISO,04/05/2020 4:00:00 AM 4,17784
CISO,04/05/2020 5:00:00 AM 5,17723
CISO,04/05/2020 6:00:00 AM 6,17961
CISO,04/05/2020 7:00:00 AM 7,18340
CISO,04/05/2020 8:00:00 AM 8,18384
CISO,04/05/2020 9:00:00 AM 9,18690
CISO,04/05/2020 10:00:00 AM 10,19043
CISO,04/05/2020 11:00:00 AM 11,19527
CISO,04/05/2020 12:00:00 PM 12,19532
CISO,04/05/2020 1:00:00 PM 13,19596
CISO,04/05/2020 2:00:00 PM 14,19490
CISO,04/05/2020 3:00:00 PM 15,19571
CISO,04/05/2020 4:00:00 PM 16,19906
CISO,04/05/2020 5:00:00 PM 17,20188
CISO,04/05/2020 6:00:00 PM 18,21058
CISO,04/05/2020 7:00:00 PM 19,22232
CISO,04/05/2020 8:00:00 PM 20,23419
CISO,04/05/2020 9:00:00 PM 21,23423
CISO,04/05/2020 10:00:00 PM 22,22527
CISO,04/05/2020 11:00:00 PM 23,21274
CISO,04/06/2020 12:00:00 AM 24,19911
CISO,04/06/2020 1:00:00 AM 1,18927
CISO,04/06/2020 2:00:00 AM 2,18255
CISO,04/06/2020 3:00:00 AM 3,18253
CISO,04/06/2020 4:00:00 AM 4,18320
CISO,04/06/2020 5:00:00 AM 5,18654
CISO,04/06/2020 6:00:00 AM 6,19702
